transaction_id,customer_id,transaction_date,transaction_amount,payment_mode,channel,gender,age,city,customer_segment,signup_date,value_segment,year_month
TXN500065,CUST100226,12-03-2023,2315.48,Debit Card,Mobile App,Male,22,Delhi,Mid Value,16-04-2023,Mid Value,2023-03
TXN500066,CUST100422,27-09-2023,1237.3,UPI,Website,Female,29,Bengaluru,Mid Value,28-10-2023,Low Value,2023-09
TXN500067,CUST101095,01-12-2023,1040.68,Debit Card,Website,Female,53,Bengaluru,High Value,01-04-2023,Low Value,2023-12
TXN500068,CUST100242,07-08-2024,517.03,Debit Card,Mobile App,Female,55,Hyderabad,Mid Value,28-04-2024,High Value,2024-08
TXN500069,CUST100529,04-11-2023,426.78,Net Banking,Website,Female,22,Pune,Low Value,09-10-2024,Mid Value,2023-11
TXN500070,CUST101612,02-03-2024,1597.78,Credit Card,Mobile App,Female,38,Mumbai,Mid Value,07-05-2022,High Value,2024-03
TXN500071,CUST101068,18-07-2023,1042.6,Net Banking,Mobile App,Male,52,Delhi,Mid Value,21-03-2022,Low Value,2023-07
TXN500072,CUST101495,17-03-2023,1488.03,Debit Card,Mobile App,Male,48,Delhi,Low Value,06-07-2024,Mid Value,2023-03
TXN500073,CUST100370,19-10-2024,479.77,Credit Card,Mobile App,Female,38,Delhi,Mid Value,27-06-2024,Mid Value,2024-10
TXN500074,CUST101878,08-06-2024,948.41,UPI,Mobile App,Female,50,Bengaluru,Mid Value,02-02-2024,Low Value,2024-06
TXN500075,CUST100651,02-10-2024,12389.83,UPI,Mobile App,Female,58,Bengaluru,High Value,20-12-2023,High Value,2024-10
TXN500076,CUST100688,18-08-2023,1009.75,Net Banking,Mobile App,Male,22,Bengaluru,Mid Value,15-04-2024,Mid Value,2023-08
TXN500077,CUST100733,26-03-2023,1170.92,Credit Card,Mobile App,Female,55,Delhi,Mid Value,14-08-2023,Low Value,2023-03
TXN500078,CUST101950,11-06-2023,200,Debit Card,Mobile App,Female,25,Chennai,High Value,09-07-2022,Low Value,2023-06
TXN500079,CUST100091,01-02-2024,1054.61,Net Banking,Mobile App,Female,45,Bengaluru,Low Value,31-03-2023,Mid Value,2024-02
TXN500080,CUST101045,06-01-2024,3170.97,Debit Card,Mobile App,Male,42,Hyderabad,Mid Value,22-01-2023,Mid Value,2024-01
TXN500081,CUST100171,16-07-2024,1594.64,Net Banking,Website,Male,31,Chennai,Mid Value,19-01-2024,Low Value,2024-07
TXN500082,CUST101627,03-08-2023,2354.35,UPI,Mobile App,Male,54,Delhi,Low Value,23-10-2023,High Value,2023-08
TXN500083,CUST101215,01-01-2023,1788.99,Wallet,Mobile App,Male,42,Bengaluru,Low Value,15-09-2023,Low Value,2023-01
TXN500084,CUST101100,12-01-2024,245.26,Net Banking,Mobile App,Male,31,Mumbai,Low Value,01-05-2022,Mid Value,2024-01
TXN500085,CUST101304,16-02-2024,888.1,Wallet,Website,Female,27,Bengaluru,Mid Value,17-09-2024,Mid Value,2024-02
TXN500086,CUST101387,26-09-2024,2606.85,Debit Card,Website,Female,50,Mumbai,High Value,28-03-2022,Mid Value,2024-09
TXN500087,CUST100178,19-07-2023,1746.66,UPI,Mobile App,Male,46,Mumbai,Low Value,22-05-2024,High Value,2023-07
TXN500088,CUST100237,02-07-2023,2472.38,UPI,Mobile App,Female,37,Bengaluru,Mid Value,07-12-2023,Mid Value,2023-07
TXN500089,CUST101158,14-02-2024,982.45,UPI,Mobile App,Female,34,Delhi,Low Value,10-01-2024,Mid Value,2024-02
TXN500090,CUST100876,02-02-2024,473.63,Credit Card,Website,Female,33,Hyderabad,Mid Value,14-09-2024,High Value,2024-02
TXN500091,CUST100901,04-08-2023,3895.9,Credit Card,Mobile App,Female,41,Mumbai,Mid Value,05-10-2023,High Value,2023-08
TXN500092,CUST100279,15-12-2023,1038.59,Debit Card,Mobile App,Female,49,Chennai,Low Value,08-10-2023,Low Value,2023-12
TXN500093,CUST101042,02-08-2024,2341.33,Credit Card,Website,Male,27,Pune,Mid Value,29-08-2022,High Value,2024-08
TXN500094,CUST101618,16-08-2024,1056.11,UPI,Mobile App,Female,64,Bengaluru,High Value,08-01-2022,Mid Value,2024-08
TXN500095,CUST100739,15-10-2024,5765.71,UPI,Mobile App,Female,38,Delhi,Low Value,25-01-2023,High Value,2024-10
TXN500096,CUST100370,10-02-2023,10605.66,UPI,Mobile App,Female,38,Delhi,Mid Value,27-06-2024,Mid Value,2023-02
TXN500097,CUST101800,03-01-2023,2302.89,UPI,Mobile App,Male,62,Mumbai,Mid Value,22-11-2023,Low Value,2023-01
TXN500098,CUST101135,04-04-2023,2027.7,Debit Card,Website,Male,27,Mumbai,Mid Value,26-03-2022,High Value,2023-04
TXN500099,CUST101786,28-02-2023,4043.08,UPI,Mobile App,Female,55,Hyderabad,Low Value,03-11-2022,Low Value,2023-02
TXN500100,CUST101699,11-02-2024,1597.53,UPI,Website,Female,34,Delhi,High Value,13-05-2022,High Value,2024-02
TXN500101,CUST100869,18-01-2023,4480.14,Debit Card,Website,Female,43,Bengaluru,Low Value,14-09-2022,High Value,2023-01
TXN500102,CUST101703,08-05-2024,1171.78,Wallet,Website,Male,34,Pune,Low Value,02-02-2024,Mid Value,2024-05
TXN500103,CUST101018,22-05-2024,200,UPI,Website,Female,43,Hyderabad,High Value,28-01-2022,High Value,2024-05
TXN500104,CUST100220,08-08-2024,5745.74,Wallet,Website,Male,63,Pune,Mid Value,13-05-2022,Mid Value,2024-08
TXN500105,CUST100919,28-11-2023,2812.57,Wallet,Website,Female,61,Hyderabad,Low Value,23-06-2023,Mid Value,2023-11
TXN500106,CUST100303,18-06-2023,1572.82,Credit Card,Mobile App,Female,34,Pune,Low Value,21-07-2022,Mid Value,2023-06
TXN500107,CUST101726,02-11-2024,6376.68,UPI,Mobile App,Female,64,Delhi,Mid Value,14-02-2023,Low Value,2024-11
TXN500108,CUST101348,11-11-2024,4792.3,UPI,Mobile App,Female,36,Pune,Mid Value,07-02-2023,Mid Value,2024-11
TXN500109,CUST101460,25-07-2023,252.49,Net Banking,Mobile App,Male,37,Chennai,Mid Value,26-01-2023,Mid Value,2023-07
TXN500110,CUST100437,04-06-2024,2154.29,Debit Card,Mobile App,Female,26,Hyderabad,High Value,20-02-2023,High Value,2024-06
TXN500111,CUST101193,19-05-2024,1699.31,Debit Card,Mobile App,Female,41,Bengaluru,Low Value,23-10-2023,High Value,2024-05
TXN500112,CUST100374,12-12-2023,3296.1,Net Banking,Mobile App,Male,31,Bengaluru,Mid Value,03-05-2022,High Value,2023-12
TXN500113,CUST101580,31-10-2023,787.1,Credit Card,Mobile App,Female,46,Mumbai,Mid Value,07-11-2023,Mid Value,2023-10
TXN500114,CUST100380,25-04-2023,200,Credit Card,Mobile App,Female,31,Delhi,Mid Value,18-12-2023,Mid Value,2023-04
TXN500115,CUST100985,25-10-2024,451.13,Debit Card,Mobile App,Female,54,Chennai,Low Value,16-02-2022,Mid Value,2024-10
TXN500116,CUST100013,28-03-2023,521.21,UPI,Mobile App,Male,45,Mumbai,High Value,11-11-2022,Low Value,2023-03
TXN500117,CUST100742,05-04-2023,757.87,UPI,Mobile App,Female,24,Chennai,Low Value,18-05-2024,Low Value,2023-04
TXN500118,CUST100668,03-03-2024,1017.85,Credit Card,Mobile App,Male,35,Mumbai,High Value,15-09-2024,Low Value,2024-03
TXN500119,CUST100499,28-11-2024,2697.34,Net Banking,Mobile App,Female,38,Bengaluru,Mid Value,14-02-2023,High Value,2024-11
TXN500120,CUST101669,25-03-2024,200,Debit Card,Mobile App,Female,34,Chennai,Low Value,05-05-2022,High Value,2024-03
TXN500121,CUST101414,17-09-2024,1466.51,UPI,Website,Female,24,Hyderabad,Low Value,09-01-2024,Mid Value,2024-09
TXN500122,CUST101572,24-06-2024,1518.96,UPI,Mobile App,Female,25,Delhi,Low Value,23-09-2022,High Value,2024-06
TXN500123,CUST100564,15-12-2024,2104.9,Credit Card,Mobile App,Female,64,Mumbai,Mid Value,10-05-2023,Mid Value,2024-12
TXN500124,CUST100529,02-01-2023,818.09,Debit Card,Website,Female,22,Pune,Low Value,09-10-2024,Mid Value,2023-01
TXN500125,CUST100491,19-03-2023,661.8,Debit Card,Mobile App,Male,35,Mumbai,Low Value,23-05-2023,Low Value,2023-03
TXN500126,CUST101573,20-11-2023,1455.14,UPI,Mobile App,Female,45,Mumbai,High Value,01-07-2024,Mid Value,2023-11
TXN500127,CUST101722,08-04-2023,2370.85,UPI,Mobile App,Male,25,Bengaluru,Mid Value,15-03-2022,High Value,2023-04
TXN500128,CUST101408,20-09-2024,200,Wallet,Mobile App,Male,56,Delhi,High Value,29-10-2022,High Value,2024-09
TXN500129,CUST101219,20-04-2023,764.61,Credit Card,Website,Male,38,Mumbai,Mid Value,10-05-2023,Mid Value,2023-04
TXN500130,CUST100754,09-11-2024,3405.43,UPI,Mobile App,Female,27,Bengaluru,Low Value,02-05-2022,Mid Value,2024-11
TXN500131,CUST100299,01-04-2024,1456.44,Debit Card,Mobile App,Female,49,Delhi,Mid Value,08-03-2024,High Value,2024-04
TXN500132,CUST100814,02-05-2024,6672.45,Credit Card,Mobile App,Female,22,Hyderabad,Low Value,01-03-2022,High Value,2024-05
TXN500133,CUST100546,06-01-2024,4447.27,UPI,Mobile App,Male,30,Hyderabad,Mid Value,06-06-2022,High Value,2024-01
TXN500134,CUST100726,03-12-2023,927.32,Credit Card,Mobile App,Male,39,Mumbai,Mid Value,10-03-2024,High Value,2023-12
TXN500135,CUST100730,21-08-2024,2850.36,UPI,Mobile App,Male,47,Bengaluru,Low Value,28-04-2022,Mid Value,2024-08
TXN500136,CUST100827,22-01-2023,705.39,UPI,Mobile App,Female,24,Mumbai,Mid Value,16-06-2022,High Value,2023-01
TXN500137,CUST100601,22-12-2024,424.01,Credit Card,Mobile App,Female,62,Chennai,Mid Value,21-02-2023,Mid Value,2024-12
TXN500138,CUST101331,01-11-2023,4683.37,Credit Card,Website,Female,53,Mumbai,Low Value,29-12-2024,Mid Value,2023-11
TXN500139,CUST101275,29-09-2023,948.57,Debit Card,Website,Female,37,Bengaluru,Low Value,13-04-2024,Low Value,2023-09
TXN500140,CUST101031,04-05-2024,500.34,Credit Card,Website,Female,59,Bengaluru,Low Value,24-04-2023,High Value,2024-05
TXN500141,CUST100767,21-03-2024,7373.82,Credit Card,Mobile App,Female,42,Mumbai,Mid Value,19-11-2022,Mid Value,2024-03
TXN500142,CUST100874,05-10-2023,200,Wallet,Website,Female,56,Mumbai,Mid Value,14-02-2023,Mid Value,2023-10
TXN500143,CUST101231,12-10-2024,1005.68,Net Banking,Mobile App,Female,42,Bengaluru,Low Value,27-11-2023,Mid Value,2024-10
TXN500144,CUST100936,12-01-2024,200,UPI,Website,Female,42,Delhi,High Value,17-01-2022,High Value,2024-01
TXN500145,CUST100130,20-08-2023,1543.04,UPI,Website,Female,61,Bengaluru,Mid Value,17-02-2023,Mid Value,2023-08
TXN500146,CUST101759,14-08-2024,1128.13,Debit Card,Mobile App,Male,32,Delhi,Mid Value,13-02-2023,High Value,2024-08
TXN500147,CUST101732,01-03-2024,2805.79,Credit Card,Mobile App,Male,37,Mumbai,Low Value,11-09-2022,Low Value,2024-03
TXN500148,CUST101677,24-02-2023,6775.7,Credit Card,Mobile App,Male,43,Mumbai,Low Value,09-05-2023,Mid Value,2023-02
TXN500149,CUST101787,16-03-2024,1613.31,UPI,Website,Female,60,Delhi,High Value,23-09-2022,Mid Value,2024-03
TXN500150,CUST100607,03-02-2023,739.27,Credit Card,Mobile App,Female,52,Mumbai,Low Value,29-08-2023,Mid Value,2023-02
TXN500151,CUST100025,25-11-2023,4525.62,Debit Card,Website,Female,37,Pune,Mid Value,23-07-2022,Mid Value,2023-11
TXN500152,CUST101646,29-03-2024,2040.95,Debit Card,Mobile App,Male,34,Hyderabad,Mid Value,20-05-2023,Mid Value,2024-03
TXN500153,CUST101477,23-01-2024,1773.82,UPI,Mobile App,Female,32,Mumbai,Mid Value,08-10-2023,Mid Value,2024-01
TXN500154,CUST100634,05-03-2024,459.72,Credit Card,Mobile App,Female,61,Bengaluru,Mid Value,15-09-2023,Low Value,2024-03
TXN500155,CUST101209,20-04-2024,200,Credit Card,Website,Male,52,Mumbai,Mid Value,22-01-2023,Low Value,2024-04
TXN500156,CUST100483,05-05-2023,1361.34,Credit Card,Mobile App,Female,40,Bengaluru,Mid Value,19-05-2024,Mid Value,2023-05
TXN500157,CUST100679,06-06-2024,1651.93,Credit Card,Mobile App,Female,55,Bengaluru,High Value,22-10-2022,Mid Value,2024-06
TXN500158,CUST101074,26-04-2024,299.04,Credit Card,Website,Male,46,Chennai,Mid Value,17-04-2023,Low Value,2024-04
TXN500159,CUST101914,13-11-2023,200,Net Banking,Mobile App,Female,43,Mumbai,Mid Value,25-06-2022,Mid Value,2023-11
TXN500160,CUST100004,02-05-2023,535.59,Credit Card,Mobile App,Male,28,Bengaluru,Mid Value,08-05-2022,Low Value,2023-05
TXN500161,CUST100588,30-06-2024,200,Credit Card,Mobile App,Female,63,Mumbai,High Value,12-11-2024,Mid Value,2024-06
TXN500162,CUST101183,03-08-2024,200,Debit Card,Website,Female,45,Mumbai,Low Value,30-10-2024,High Value,2024-08
TXN500163,CUST100207,09-11-2023,1292.03,Wallet,Mobile App,Female,45,Pune,Mid Value,16-12-2024,Low Value,2023-11
TXN500164,CUST100256,01-05-2024,3656.44,Debit Card,Mobile App,Male,42,Pune,Mid Value,16-04-2022,Mid Value,2024-05
TXN500165,CUST101228,12-10-2024,2399.34,UPI,Website,Female,44,Pune,Low Value,11-08-2023,Mid Value,2024-10
TXN500166,CUST101790,12-01-2023,2502.73,Credit Card,Mobile App,Male,40,Delhi,Low Value,19-06-2024,High Value,2023-01
TXN500167,CUST101973,05-05-2023,669.69,Debit Card,Mobile App,Female,38,Mumbai,Low Value,05-06-2023,High Value,2023-05
TXN500168,CUST100010,20-10-2024,200,UPI,Website,Male,36,Hyderabad,Mid Value,14-02-2022,Low Value,2024-10
TXN500169,CUST100948,18-03-2023,1317.83,UPI,Website,Female,34,Chennai,Low Value,22-03-2022,High Value,2023-03
TXN500170,CUST100007,02-08-2024,1041.5,UPI,Mobile App,Male,37,Pune,Mid Value,06-04-2024,Low Value,2024-08
TXN500171,CUST101432,18-12-2024,6472.2,UPI,Website,Female,57,Chennai,Mid Value,05-08-2022,Mid Value,2024-12
TXN500172,CUST100935,24-08-2023,200,UPI,Mobile App,Male,35,Hyderabad,Low Value,18-01-2023,Mid Value,2023-08
TXN500173,CUST100031,24-07-2024,3295.56,Wallet,Website,Male,34,Chennai,Low Value,24-03-2022,Mid Value,2024-07
TXN500174,CUST100539,11-09-2023,1070.98,UPI,Mobile App,Female,31,Delhi,Mid Value,09-04-2024,Mid Value,2023-09
TXN500175,CUST101741,10-02-2024,3893.39,UPI,Mobile App,Female,32,Mumbai,High Value,14-10-2024,Low Value,2024-02
TXN500176,CUST101004,31-08-2023,1502.63,Net Banking,Website,Male,22,Hyderabad,Low Value,07-11-2022,Mid Value,2023-08
TXN500177,CUST100386,05-04-2024,3778.7,Debit Card,Mobile App,Male,52,Delhi,Low Value,26-08-2024,Mid Value,2024-04
TXN500178,CUST101251,04-10-2023,1383.69,Debit Card,Website,Female,23,Pune,Mid Value,07-07-2024,High Value,2023-10
TXN500179,CUST100639,13-04-2024,1130.65,Credit Card,Mobile App,Female,29,Pune,High Value,14-09-2024,Mid Value,2024-04
TXN500180,CUST101790,08-08-2023,7295.58,UPI,Website,Male,40,Delhi,Low Value,19-06-2024,High Value,2023-08
TXN500181,CUST101498,13-08-2023,1012.49,Net Banking,Website,Male,61,Chennai,Low Value,20-06-2024,Mid Value,2023-08
TXN500182,CUST101747,11-04-2023,3599.85,Net Banking,Mobile App,Male,42,Mumbai,Mid Value,12-06-2023,Mid Value,2023-04
TXN500183,CUST101774,25-09-2024,200,Credit Card,Mobile App,Male,45,Bengaluru,Low Value,15-09-2022,High Value,2024-09
TXN500184,CUST100206,30-12-2024,200,Debit Card,Mobile App,Female,63,Bengaluru,Mid Value,27-08-2023,High Value,2024-12
TXN500185,CUST101341,21-05-2024,1268.18,Credit Card,Website,Female,35,Hyderabad,Low Value,17-04-2022,Mid Value,2024-05
TXN500186,CUST101818,09-08-2024,1937.87,UPI,Mobile App,Female,21,Mumbai,High Value,09-10-2022,High Value,2024-08
TXN500187,CUST101780,27-11-2023,2063.28,Credit Card,Website,Female,47,Mumbai,Mid Value,19-03-2023,Low Value,2023-11
TXN500188,CUST100556,25-08-2023,200,Debit Card,Mobile App,Female,21,Bengaluru,High Value,14-12-2024,High Value,2023-08
TXN500189,CUST101640,05-12-2023,2624.96,UPI,Website,Female,24,Delhi,High Value,26-03-2024,High Value,2023-12
TXN500190,CUST100347,20-05-2024,306.19,Credit Card,Mobile App,Female,40,Chennai,High Value,01-10-2023,Mid Value,2024-05
TXN500191,CUST100792,14-06-2023,6839.33,Debit Card,Mobile App,Male,30,Bengaluru,Low Value,06-01-2022,High Value,2023-06
TXN500192,CUST100233,30-10-2024,892.73,Credit Card,Website,Female,52,Delhi,High Value,13-08-2024,High Value,2024-10
TXN500193,CUST101724,23-12-2024,666.73,UPI,Website,Female,57,Delhi,High Value,28-01-2024,High Value,2024-12
TXN500194,CUST101067,28-12-2024,757.41,Net Banking,Website,Male,57,Bengaluru,Mid Value,21-11-2022,Mid Value,2024-12
TXN500195,CUST101005,06-08-2023,6094.54,Debit Card,Website,Male,43,Hyderabad,Low Value,11-07-2023,Mid Value,2023-08
TXN500196,CUST100736,11-01-2024,1450.69,Debit Card,Website,Female,62,Delhi,Mid Value,17-04-2022,Low Value,2024-01
TXN500197,CUST100941,12-01-2023,1254.8,Debit Card,Mobile App,Male,58,Chennai,Mid Value,25-04-2022,Mid Value,2023-01
TXN500198,CUST101165,07-03-2024,1835.85,UPI,Website,Female,32,Mumbai,High Value,19-09-2024,High Value,2024-03
TXN500199,CUST101671,24-03-2023,5874.45,Credit Card,Mobile App,Male,45,Hyderabad,Low Value,17-04-2024,Mid Value,2023-03
TXN500200,CUST100175,06-03-2024,811.05,UPI,Mobile App,Female,58,Delhi,Mid Value,25-01-2023,Mid Value,2024-03
TXN500201,CUST101677,16-09-2024,438.79,Net Banking,Mobile App,Male,43,Mumbai,Low Value,09-05-2023,Mid Value,2024-09
TXN500202,CUST100448,22-04-2024,1991.18,Credit Card,Mobile App,Male,32,Mumbai,High Value,26-11-2022,Mid Value,2024-04
TXN500203,CUST100591,07-12-2024,1488.59,Debit Card,Mobile App,Female,49,Hyderabad,Mid Value,14-04-2023,High Value,2024-12
TXN500204,CUST100081,04-01-2024,200,Debit Card,Website,Female,52,Pune,Mid Value,16-12-2023,Low Value,2024-01
TXN500205,CUST100134,14-10-2024,1623.63,Credit Card,Website,Male,25,Delhi,Mid Value,19-12-2022,Mid Value,2024-10
TXN500206,CUST101742,27-09-2024,1818.28,Net Banking,Mobile App,Female,35,Mumbai,High Value,16-08-2022,Mid Value,2024-09
